id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,lum,base,comp_numeric,bf,STDT_Mismatch_FullName,STDT_Mismatch_Class,STDT_Mismatch_Magnitude,STDT_Mismatch_Mass,STDT_Mismatch_Radius,STDT_Mismatch_Temperature,STDT_Mismatch_Distance,STDT_Mismatch_InnerHZ,STDT_Mismatch_OuterHZ,Planets(ISIZ),Moons,FloraCount,FaunaCount,UniqueResourceCount,MinLevel,MaxLevel,SystemSize,SurveyDifficultyIndex,SurveyRank,Etymology
0,,,,,Sol,Sol,Sol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G2V,V,-26.74,4.83,0.63,1.0,1.0,5772.0,Main sequence,10.0,1,0,,,5e-05,0.84,2.4,0.95,1.67,,,,,,,,,,,,,,,,,0.0,,-26.74,-26.12,-27.47,-27.96,-28.25,V,1.0,Sol,1,,,,4.85 <-> 4.83,,1.00 <-> 1.00,5830 <-> 5772,,0.75 <-> 0.84,1.76 <-> 2.40,9,21,0,0,21,1,10,30,40,D,Linguistic; Latin 'sun'; cradle of humanity
3814,3821,4614A,219.0,34 A,* eta Cas A,Eta Cassiopeiae,Achird,12.2762,57.8152,0.21426059,1.0090652,5.923,3.0828,0.6708,5.0129,6362.29391694,32378.32969042,-8235.52465546,1078.609,-551.133,5.23e-06,-2.67e-06,F9V,V,1.99,3.127,0.58,1.996,1.48,6046.973231761683,Main sequence,3.752486184359976,1,3814,118021,,1221714.8506031432,1.840026189619492,5.257217684627118,3.6581473055530367,2.080982000164901,eta,,Cas,425040000951479424,J00490622+5748545,3663-2669-1,J00491+5749A,J00491+5749A,671 A,445258206.0,2690.0,155,,00461+5732,447.0,675.0,,8.404,3.440000057220459,4.019999980926514,2.369999885559082,2.0199999809265137,1.9900000095367432,K,4.8875,Eta Cassiopeiae,1,eta  Cas,Eta Cassiopeia <-> Eta Cassiopeiae,G0 <-> F9,4.59 <-> 3.13,0.97 <-> 1.48,1.04 <-> 2.00,5970 <-> 6047,5.95 <-> 5.92,0.84 <-> 1.84,1.96 <-> 5.26,4,5,11,10,17,20,30,9,37,D,Linguistic; Arabic 'hen's breast'
3820,3829,,,35,Wolf 28,Van Maanen's Star,vMA 2,12.2912,5.3886,0.21452266,0.09404898,4.3144,4.1969,0.9144,0.4052,-16.28674166,25772.41760222,-55194.84881248,1231.399,-2711.883,5.97e-06,-1.315e-05,DZ7.5,V,11.498,13.323,0.546,0.017,0.14,6187.357211382538,White dwarf,1328.4493003030398,1,3820,,,889916.3258262145,0.0168113774296044,0.048032506941727,0.0334226194136184,0.0190128673311002,,,Psc,2552928187080872960,J00490996+0523173,17-1272-1,,,,257219223.0,2724.0,160.00,,,453.0,681.0,,263.0,12.37399959564209,12.920000076293944,11.687999725341797,11.571999549865724,11.498000144958496,K,0.0002,Van Maanen's Star,1,Psc,,,14.22 <-> 13.32,0.7 <-> 0.14,0.01 <-> 0.02,6130 <-> 6187,4.26 <-> 4.31,0.01 <-> 0.02,0.02 <-> 0.05,1,0,0,0,2,10,20,1,1,E,Astronomer; mastered precision star mapping
5325,5336,6582,321.0,53 A,* mu. Cas A,Alpha Andraste,,17.0679,54.9202,0.29789156,0.95853755,7.6753,4.2169,1.2947,6.2811,7451.0255785,134292.13126178,-32801.12825022,3468.251,-1564.844,1.681e-05,-7.59e-06,G5Vb,Vb,5.17,5.78,0.695,0.789,0.74,5306.0,Main sequence,20.94438734608807,1,5325,119221,,1583143.863484079,0.95,2.36,0.96,1.66,mu,,Cas,411413822074322432,J01081597+5455148,3673-1929-1,J01080+5455A,J01083+5455A,,252191219.0,3721.0,219,1030.0,01051+5439,646.0,1137.0,,-97.09,5.170000076293945,5.860000133514404,4.03000020980835,3.5999999046325684,,H,1.6834,Alpha Andraste,1,mu  Cas,,,5.78 <-> 5.78,0.93 <-> 0.74,0.93 <-> 0.79,5575 <-> 5306,7.55 <-> 7.68,0.50 <-> 0.95,1.17 <-> 2.36,6,1,9,11,18,30,40,7,47,C,Mythic; Celtic war goddess
8087,8102,10700,509.0,71,* tau Cet,Tau Ceti,,26.017,-15.9375,0.45408254,-0.2781615,3.6522,3.1559,1.5404,-1.0028,16713.28391242,-25011.81313176,14237.579898,-1721.728,854.963,-8.35e-06,4.14e-06,G8V,V,1.68,3.867,0.72,1.695,1.25,5534.19739547371,Main sequence,5.745277678152845,1,8087,,,753314.458910696,1.308670965450639,3.73905990128754,2.6017625146459133,1.4800445442596513,tau,,Cet,2452378776434276864,J01440402-1556141,5855-2292-1,J01441-1557A,J01441-1556A,,419015728.0,5787.0,365.00,59.0,01416-1611,979.0,1733.0,,-16.597,3.5,4.21999979019165,2.140000104904175,1.7200000286102295,1.6799999475479126,K,2.5183,Tau Ceti,1,tau  Cet,,,5.68 <-> 3.87,0.78 <-> 1.25,0.79 <-> 1.70,5320 <-> 5534,3.65 <-> 3.65,0.53 <-> 1.31,1.26 <-> 3.74,9,9,9,11,26,10,20,18,54,C,Linguistic; Latin 'Cetus'; whale
15471,15510,20794,1008.0,139,* 82 Eri,Eridani,,49.9819,-43.0698,0.87234835,-0.7517095,6.0414,2.8379,3.38,-4.1256,-57383.56332135,66829.82296547,15149.18837847,3035.017,726.964,1.471e-05,3.52e-06,G6V,V,2.636,3.73,0.71,1.783,1.29,5567.728608655219,Main sequence,5.309783962537795,1,15471,,,1246130.8135003825,1.3938556662836012,3.982444760810289,2.771117812730493,1.576384384487406,,82.0,Eri,4847957293277762560,J03195563-4304112,7567-1183-1,,,,301051051.0,10637.0,703.00,119.0,F03180-4315,1851.0,2978.0,,87.882,4.269999980926514,4.980000019073486,3.032000064849853,2.7090001106262207,2.635999917984009,K,2.8568,Eridani,1,82.0 Eri,,G8 <-> G6,5.35 <-> 3.73,0.7 <-> 1.29,0.92 <-> 1.78,5400 <-> 5568,6.04 <-> 6.04,0.61 <-> 1.39,1.46 <-> 3.98,9,14,15,16,27,20,30,23,67,B,Mythic; genitive of legendary river Eridanus
24129,24186,33793,,191,V* VZ Pic,Kapteyn's Star,Kapteyn's,77.9191,-45.0184,1.35994527,-0.78571989,3.9339,0.582,2.7192,-2.7826,-134095.57861121,-48128.89293667,-75426.52127263,6491.223,-5708.614,3.147e-05,-2.768e-05,M1VIp,VI,5.049,7.075,1.58,0.876,0.6,3677.0147363402025,Main sequence,36.40964039017858,1,24129,,,811431.715202208,0.2987488033944886,0.8535680096985391,0.5939410734152335,0.3378706705056717,,,Pic,4810594479417465856,J05114046-4501051,8078-1749-1,,,,200385493.0,14668.0,1181.00,,05100-4502,3085.0,4691.0,,245.234,8.852999687194824,10.43299961090088,5.821000099182129,5.315999984741211,5.048999786376953,K,0.1683,Kapteyn's Star,1,Pic,,M0 <-> M1,10.90 <-> 7.08,0.28 <-> 0.6,0.29 <-> 0.88,3570 <-> 3677,3.91 <-> 3.93,0.05 <-> 0.30,0.13 <-> 0.85,2,0,0,0,8,10,20,2,20,E,Astronomer; charted stellar drift and parallax
32263,32349,48915,2491.0,244 A,* alf CMa A,Sirius,Sirius,101.2872,-16.7161,1.76779435,-0.29175126,2.6371,-0.4943,2.4768,-0.7585,7555.38374279,-2981.86799543,-14641.79693288,-546.01,-1223.07,-2.65e-06,-5.93e-06,A0mA1Va,V,-1.35,1.544,0.0,1.476,2.13,10125.237191650856,Main sequence,1.5086889894287236,1,32263,119224,,543932.9289839404,3.814165288016611,10.897615108618888,7.582923846413976,4.31363931382831,alf,,CMa,,J06450887-1642566,5949-2777-1,J06451-1643A,J06451-1643A,5423 A,322899250.0,16953.0,1577,257.0,S06430-1639,4392.0,6525.0,,-5.5,-1.4600000381469729,-1.4600000381469729,-1.3600000143051147,-1.3300000429153442,-1.350000023841858,V,24.7879,Sirius,1,alf  CMa,,A1 <-> A0,1.45 <-> 1.54,2.06 <-> 2.13,1.71 <-> 1.48,9940 <-> 10125,2.64 <-> 2.64,3.97 <-> 3.81,9.28 <-> 10.90,3,3,0,0,16,5,15,6,27,D,Linguistic; Greek 'scorching'
36107,36208,,,273,BD+05 1668,Luyten's Star,Luyten's star,111.8521,5.2258,1.95218705,0.09120723,3.7861,-1.4034,3.4994,0.3448,-11768.54507047,1801.79881882,-65976.64063889,571.232,-3691.487,2.77e-06,-1.79e-05,M3.5V,V,4.857,6.966,1.571,0.915,0.61,3689.747923732747,Main sequence,34.199185372383006,1,36107,,,780930.7041425923,0.3140990891982856,0.8974259691379591,0.6244589035251632,0.3552311127837754,,,CMi,3139847906304421888,J07272450+0513329,173-3208-1,,J07274+0514A,,318686860.0,17881.0,1755.00,,07247+0520,4954.0,7213.0,,18.36,9.871999740600586,11.442999839782717,5.714000225067139,5.218999862670898,4.85699987411499,K,0.2948,Luyten's Star,1,CMi,,M1 <-> M3,11.94 <-> 6.97,0.26 <-> 0.61,0.35 <-> 0.92,3150 <-> 3690,3.80 <-> 3.79,0.03 <-> 0.31,0.08 <-> 0.90,1,0,0,0,8,5,15,1,17,E,Astronomer; uncovered faint binary systems
37173,37279,61421,2943.0,280 A,* alf CMi A,Procyon A,Procyon A,114.8255,5.225,2.004083,0.09119324,3.5142,-1.4693,3.1762,0.32,10145.736932,6421.58306765,-17200.63769817,-714.59,-1036.8,-3.46e-06,-5.03e-06,F5IV-V,IV,-0.65,1.621,0.42,3.181,2.09,6775.501733074217,Subgiant,1.5765847492091212,1,37173,118493,,724855.2361540624,3.682183513001276,10.52052432286079,7.3205315079906335,4.1643742111323965,alf,,CMi,,J07391805+0513298,187-2184-1,J07393+0514A,J07393+0514A,,471011543.0,18229.0,1805,291.0,07366+0520,5099.0,7381.0,,-4.50528,0.3700000047683716,0.7900000214576721,-0.3899999856948852,-0.5600000023841858,-0.6499999761581421,K,25.5654,Procyon A,1,alf  CMi,,,2.67 <-> 1.62,1.5 <-> 2.09,2.05 <-> 3.18,6530 <-> 6776,,1.94 <-> 3.68,4.49 <-> 10.52,6,9,5,10,22,10,20,15,47,C,Linguistic; Greek 'before dog'
54712,54872,97603,4357.0,419,* del Leo,Zosma,Zosma,168.5271,20.5237,2.94135259,0.35820646,17.9147,-16.4424,3.3371,6.2808,-6193.22336321,-11171.18411888,-10337.18222693,143.42,-129.88,7e-07,-6.3e-07,A5IV(n),IV,2.24,0.974,0.15,2.678,2.43,8571.321109412325,Subgiant,1.0863938353471612,1,54712,,,3695177.463274812,4.960088803530784,14.17168229580224,9.86112893082906,5.609624242088387,del,,Leo,3990320597065900032,J11140651+2031258,1439-2479-1,J11141+2032A,J11141+2031A,,159523958.0,26691.0,2614.00,422.0,,6892.0,9902.0,,-20.9,2.5299999713897705,2.680000066757202,2.3299999237060547,2.2799999713897705,2.240000009536743,K,46.3896,Zosma,1,del  Leo,,A4 <-> A5,1.29 <-> 0.97,2.2 <-> 2.43,2.14 <-> 2.68,8900 <-> 8571,17.91 <-> 17.91,3.65 <-> 4.96,8.41 <-> 14.17,5,8,4,6,16,50,255,13,67,B,Linguistic; Greek 'girdle'
