id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,ci_type,lum,base,comp_numeric,bf,STDT_Mismatch_FullName,STDT_Mismatch_Class,STDT_Mismatch_Magnitude,STDT_Mismatch_Mass,STDT_Mismatch_Radius,STDT_Mismatch_Temperature,STDT_Mismatch_Distance,STDT_Mismatch_InnerHZ,STDT_Mismatch_OuterHZ
73018,73245,132307,,,HD 132307,Bohr,,224.5453,6.905,3.91905513,0.12051428,34.7035,-24.5537,-24.167,4.1722,-17946.08578853,20934.63575595,15397.08917148,-167.215,94.299,-8.1e-07,4.6e-07,G5,,6.313,3.611,0.462,3.286,1.33,4225.600128173828,,4.92927162337513,1,73018,,,7158119.970154951,1.479289197617921,4.226540564622631,2.9409678095499143,1.6730056401631248,,,,1160956465000504320,J14581087+0654179,333-909-1,,,,349760864,38925,,,,,,,-30.16,,,6.775000095367432,6.379000186920166,6.313000202178955,K,J-K,3.1013,Bohr,1,,,,5.43 <-> 3.61,0.93 <-> 1.33,0.93 <-> 3.29,5575 <-> 4226,35.03 <-> 34.70,0.58 <-> 1.48,1.38 <-> 4.23
73082,73309,132375A,5583,,HD 132375,Huygens,,224.7199,-4.9893,3.92210256,-0.0870789,34.3072,-24.2848,-24.0485,-2.9837,-40141.07010393,42699.14070652,-17159.26735611,-360.23,-105.924,-1.75e-06,-5.1e-07,F7V,V,6.08,3.403,0.49,1.56,1.39,6434.591499248499,Main sequence,4.372888277687638,1,73082,,,7076368.03392296,1.6280381616671384,4.651537604763253,3.2366949166477634,1.8412336352187877,,,,6337304342094223360,J14585280-0459211,4995-952-1,J14589-0459A,J14589-0459A,9457 A,175838533,38950,3384,,14562-0447,8687,12557,,-24.379,6.079999923706055,6.570000171661377,5.139999866485596,4.98799991607666,4.836999893188477,V,B-V,3.7564,Huygens,1,,,F8 <-> F7,3.44 <-> 3.40,1.18 <-> 1.39,1.11 <-> 1.56,6180 <-> 6435,33.77 <-> 34.31,1.40 <-> 1.63,3.27 <-> 4.65
73489,73717,133352,,,HD 133352,Hawking,,226.0289,-6.8874,3.9449492,-0.12020723,34.2845,-23.6318,-24.4962,-4.1113,-23728.37727764,23170.08982215,-1288.99447731,-204.055,-8.022,-9.9e-07,-4e-08,G8V,V,7.75,5.075,0.75,1.012,0.95,5436.136574148009,Main sequence,11.4453144906798,1,73489,,,7071685.665993548,0.7540099928701777,2.1543142653433645,1.4990436763014243,0.8527493966984152,,,,6333022740735635456,J15040696-0653144,5012-808-1,J15041-0653A,J15041-0653A,9492 A,192726036,,,,,,,,-44.78,7.75,8.5,6.288000106811523,5.9079999923706055,5.794000148773193,V,B-V,0.8057,Hawking,1,,,G5 <-> G8,5.13 <-> 5.08,0.91 <-> 0.95,0.91 <-> 1.01,5575 <-> 5436,33.03 <-> 34.28,0.67 <-> 0.75,1.58 <-> 2.15
73788,,134066A,,,HD 134066A,Fermi,,226.8873,9.226,3.95992995,0.16102468,32.8628,-22.1691,-23.6799,5.2689,-21741.18458204,21184.4053062,3518.31062296,-194.816,22.916,-9.4e-07,1.1e-07,G2V,V,7.28,4.696,0.645,1.059,1.03,5796.756211286872,Main sequence,9.20700911015156,1,73788,,,6778448.742174535,0.8973966165048219,2.56399033287092,1.784109939956015,1.0149128400947391,,,,1167718049194619392,J15073294+0913338,919-1659-1,J15075+0914A,J15075+0914A,9507 A,449902389,,,,,8748,,,-34.2,7.28000020980835,7.925000190734863,5.8470001220703125,5.578000068664551,5.492000102996826,V,B-V,1.1413,Fermi,1,,,G5 <-> G2,4.22 <-> 4.70,0.93 <-> 1.03,0.93 <-> 1.06,5575 <-> 5797,31.56 <-> 32.86,1.01 <-> 0.90,2.40 <-> 2.56
75150,75379,137052,5723,,* eps Lib,Archimedes,,231.0495,-10.3223,4.03257479,-0.18015775,28.8832,-17.8635,-22.0986,-5.1754,-4758.52658356,8665.87120167,-20512.78197041,-66.816,-152.296,-3.2e-07,-7.4e-07,F4V,V,4.92,2.617,0.438,2.076,1.67,6684.148897849182,Main sequence,2.7809510535789146,1,75150,,,5957588.079324827,2.3384312706833748,6.6812322019525,4.649024073858614,2.6446544132728644,eps,,Lib,6316197051735920640,J15241189-1019200,5598-1052-1,,,,37018039,,3478.00,,15214-1008,8913,12860,,-11.68,4.920000076293945,5.357999801635742,4.361000061035156,4.014999866485596,4.007999897003174,V,B-V,7.7498,Archimedes,1,eps  Lib,,F5 <-> F4,2.45 <-> 2.62,1.3 <-> 1.67,1.20 <-> 2.08,6675 <-> 6684,31.23 <-> 28.88,2.15 <-> 2.34,4.98 <-> 6.68
60776,60965,108767,4757,,* del Crv,Algorab,Algorab,187.4661,-16.5154,3.27190004,-0.28824865,26.2743,-24.9767,-3.2732,-7.4691,1486.12389559,26483.49156708,-16624.45704197,-209.276,-139.184,-1.01e-06,-6.7e-07,A0IV(n)kB9,IV,2.94,0.842,-0.05,1.976,2.63,10795.073234438129,,0.8924543161373009,1,60776,,,5419464.161849711,5.805110496509646,16.58602999002756,11.54111253472751,6.565303537719243,del,,Crv,3520586071216143360,J12295187-1630552,6103-2395-1,J12299-1631A,J12299-1631A,8572 A,297075865,30918,2880.00,465,F12272-1614,7515,10850,,13.9,2.940000057220459,2.890000104904175,3.0199999809265137,3.049999952316284,3.049999952316284,V,B-V,47.7598,Algorab,1,del  Crv,,B9 <-> A0,0.81 <-> 0.84,2.74 <-> 2.63,2.60 <-> 1.98,10500 <-> 10795,26.63 <-> 26.27,10.01 <-> 5.81,24.98 <-> 16.59
74746,74975,136202,5694,,*   5 Ser,Maal,,229.8283,1.7654,4.01126094,0.03081217,25.1285,-16.2022,-19.192,0.7741,32629.24393273,-30083.50308962,-61135.92626471,372.216,-513.483,1.8e-06,-2.49e-06,F8IV,IV,5.6,3.599,0.33,3.214,1.36,4384.000091552734,Subgiant,4.621586320646949,1,74746,,,5183131.869512557,1.5575659009100569,4.450188288314449,3.096589350618804,1.761532864124469,,5.0,Ser,4421455530273467392,J15191881+0145553,336-1027-1,J15193+0146A,J15193+0146A,9584 A,461297684,39881,3457,,15167+0156,8861,12790,,54.429,,5.599999904632568,4.340000152587891,3.950000047683716,4.010000228881836,B,J-K,3.4382,Maal,1,5.0 Ser,,,3.02 <-> 3.60,1.18 <-> 1.36,1.11 <-> 3.21,6180 <-> 4384,25.38 <-> 25.13,1.70 <-> 1.56,3.97 <-> 4.45
55539,55705,99211,4405,,* gam Crt,Katydid,,171.2205,-17.684,2.98836173,-0.30864423,26.5206,-24.9714,3.8566,-8.0561,1719.39418072,12049.85400534,437.01893738,-96.811,3.65,-4.7e-07,2e-08,A7V(n),V,4.06,1.942,0.19,2.043,2.04,8241.214124831342,Main sequence,1.6808163474896909,1,55539,,,5470271.862941403,3.4983485351329557,9.9952815289513,6.95505006389528,3.95646560520989,gam,,Crt,3546521385853638656,J11245298-1741025,6088-2155-1,J11249-1741A,J11249-1741A,8153 A,334849779,,2644.00,431,F11223-1724,6963,10012,,0.58,4.059999942779541,4.25,3.6480000019073486,3.5230000019073486,3.5460000038146973,V,B-V,17.3447,Katydid,1,gam  Crt,,A9 <-> A7,2.05 <-> 1.94,1.78 <-> 2.04,1.38 <-> 2.04,7525 <-> 8241,25.24 <-> 26.52,2.49 <-> 3.50,5.73 <-> 10.00
86475,86742,161096,6603,,* bet Oph,Celebrai,Cebalrai,265.8681,4.5673,4.6402743,0.07971449,25.4917,-1.8309,-25.3447,2.0299,-4925.84739048,1906.10470396,19203.82430087,-41.793,159.43,-2e-07,7.7e-07,K2IIICN0.5,,2.75,0.718,1.18,12.894,2.71,4348.347789269023,Bright giant,0.830808141543738,1,86475,,,5258047.893872807,6.147219078271712,17.56348308077632,12.221256977040188,6.952212052807292,bet,,Oph,4473334474601314304,J17432835+0434022,423-1724-1,,,,361269297,,4042.00,665,17409+0435,10239,14628,,-12.12,2.75,3.930000066757202,0.8859999775886536,0.3540000021457672,0.2189999967813491,V,B-V,53.5549,Celebrai,1,bet  Oph,,,0.76 <-> 0.72,1.13 <-> 2.71,12.42 <-> 12.89,4870 <-> 4348,25.09 <-> 25.49,5.18 <-> 6.15,12.58 <-> 17.56
71517,71743,128987,,,V* KU Lib,Kang,,220.1296,-16.2093,3.84198647,-0.28290552,23.7318,-17.4237,-14.6876,-6.6246,-6496.69809315,10958.07414343,-7126.03530442,-111.695,-66.024,-5.4e-07,-3.2e-07,G8Vk:,,7.24,5.363,0.737,0.872,0.89,5478.169104676963,Main sequence,13.515657818054272,1,71517,,,4895029.759644593,0.6600997004184157,1.885999144052616,1.3123410710699457,0.7465413278541605,KU,,Lib,6286606170175267840,J14403109-1612335,6154-999-1,,,,466493185,,,,,,,,-22.88,7.239999771118164,7.9770002365112305,5.947000026702881,5.629000186920166,5.531000137329102,V,B-V,0.6175,Kang,1,KU  Lib,,G6 <-> G8,5.37 <-> 5.36,0.9 <-> 0.89,0.92 <-> 0.87,5490 <-> 5478,23.68 <-> 23.73,0.60 <-> 0.66,1.43 <-> 1.89
