id,mod,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,radius,mass,comp,compdist,AU dist,Temp,type,Outer OHZ,Inner OHZ,Outer CHZ,Inner CHZ,Special,Luminosity Class,System Location ID
0,,0,0,0,Sol,,Sol,0,0,0,0,0,0,-26.700001,4.85,G2,0.656,0.000005,0,0,0,0,0,0,0,0,0,,0,,1,0,,1,,0,0,1,1,0,0,0,5830,,1.76,0.75,1.67,0.95,,,
3814,,3821,4614,219,Gl 34A,24Eta Cas,Eta Cassiopeiae,0.81826,57.815186,5.9531,1087.109985,-559.650024,8.2,3.46,4.586,G0,0.587,3.098462,0.674227,5.038376,0.00001105,0.00003451,-0.0000015,0.21422,1.009065,5.27E-06,-2.71E-06,Eta,24,CAS,1,3814,Gl  34,1.275264,Eta,3.507,3.457,1.05,1.1,118021,0.000478,98.540192,6000,,1.96,0.84,1.86,1.06,Huge river (wide and long),I,
3820,,3829,0,0,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.050049,-2710.560059,54,12.37,14.222,WD,0.554,4.146957,0.903519,0.400348,0.00005345,0.00003772,-0.00005057,0.214523,0.094049,5.98E-06,-1.31E-05,,0,,1,3820,,0.000178,,12.621,12.091,0.02,0.7,0,0,0,6220,,0.02,0.01,0.02,0.01,,,
5325,,5336,6582,321,Gl 53A,30Mu  Cas,Alpha Andraste,1.137477,54.920341,7.554,3421.439941,-1599.27002,-98.099998,5.17,5.779,G5,0.704,4.149699,1.274102,6.181126,-0.00004604,0.00011693,-0.00011576,0.297791,0.958541,1.66E-05,-7.75E-06,Mu,30,CAS,1,5325,Gl  53,0.425011,,0,0,0.93,0.93,118043,0.000275,56.774551,5575,,1.17,0.5,1.11,0.63,,,
8087,,8102,10700,509,Gl 71,52Tau Cet,Tau Ceti,1.734479,-15.93748,3.6502,-1721.819946,854.070007,-17,3.49,5.678,G8,0.727,3.154083,1.539508,-1.00226,0.00000207,-0.00003289,0.00001931,0.454085,-0.278161,-8.35E-06,4.14E-06,Tau,52,Cet,1,8087,,0.466445,,0,0,0.882,0.84,0,0,0,5320,,1.26,0.53,1.19,0.67,Constant lightning & no rain,I,
15471,,15510,20794,1008,Gl 139,,Eridani,3.331944,-43.069782,6.0434,3038.080078,726.340027,86.699997,4.26,5.354,G8,0.711,2.839238,3.381499,-4.127499,-0.00001715,0.00011797,-0.00004501,0.872301,-0.75171,1.47E-05,3.52E-06,,0,Eri,1,15471,,0.628637,,0,0,0.882,0.84,0,0,0,5320,,1.46,0.61,1.38,0.77,,,
24129,,24186,33793,0,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,6506.049805,-5731.390137,245.5,8.86,10.898,M0,1.543,0.578997,2.705174,-2.76822,-0.00009951,0.0001243,-0.00025439,1.35983,-0.78572,3.15E-05,-2.78E-05,,0,Pic,1,24129,,0.003809,VZ,9.148,8.828,0.63,0.47,0,0,0,3700,,0.129,0.05,0.123,0.064,,,
32263,,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01001,-1223.079956,-9.4,-1.44,1.454,A1,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.767795,-0.291751,-2.65E-06,-5.93E-06,Alp,9,CMa,1,32263,Gl 244,22.824432,,-1.333,-1.523,2.34,2.98,118441,0.000101,20.882719,9725,,9.28,3.97,8.81,5.03,Habitable asteroid belt,,
36107,,36208,0,0,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,571.27002,-3694.25,18.200001,9.84,11.94,M1,1.573,-1.409549,3.514856,0.346358,-0.00001899,0.00001905,-0.00006612,1.952187,0.091207,2.77E-06,-1.79E-05,,0,CMi,1,36107,,0.001459,,0,0,0.568,0.418,0,0,0,3560,,0.08,0.03,0.08,0.04,,,
37173,,37279,61421,2943,Gl 280A,10Alp CMi,Procyon A,7.655033,5.224993,3.5142,-716.570007,-1034.579956,-4,0.4,2.671,F5,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083,0.091193,-3.47E-06,-5.02E-06,Alp,10,CMi,1,37173,Gl 280,7.440464,,0,0,1.2,1.3,118493,0.016764,3457.782227,6675,,4.49,1.94,4.26,2.46,,,
54712,,54872,97603,4357,Gl 419,68Del Leo,Zosma,11.235138,20.523718,17.9147,143.309998,-130.429993,-20.200001,2.56,1.294,A4,0.128,-16.442202,3.337108,6.280742,0.00001259,-0.00001526,-0.00001785,2.941352,0.358206,6.95E-07,-6.32E-07,Del,68,Leo,1,54712,,26.448437,,0,0,1.86,2.32,0,0,0,8900,,8.41,3.65,7.98,4.62,Extra large moon,I,
55476,,55642,99028,4399,,78Iot Leo,Leonis,11.398736,10.529509,23.6742,140.75,-77.800003,-10,4,2.129,F2,0.423,-22.987696,3.648687,4.326252,0.00000579,-0.00001727,-0.00001065,2.984182,0.183775,6.82E-07,-3.77E-07,Iot,78,Leo,1,55476,,12.257446,,0,0,1.26,1.54,0,0,0,7170,,5.56,2.43,5.31,3.08,All Ocean,III,
55539,,55705,99211,4405,,15Gam Crt,Katydid,11.414702,-17.68401,25.239799,-97.010002,3.22,1,4.06,2.05,A9,0.216,-23.765377,3.670362,-7.667025,0.00000073,0.0000119,0.00000006,2.988362,-0.308644,-4.70E-07,1.56E-08,Gam,15,Crt,1,55539,,13.182568,,0,0,1.38,1.78,0,0,0,7525,,5.73,2.49,5.43,3.15,,,
56075,,56242,100180,4437,NN 3669A,88    Leo,Charybdis,11.529153,14.364505,23.3263,-327.880005,-188.710007,-4.2,6.27,4.431,G0,0.57,-22.42555,2.778437,5.787008,0.00000343,0.00003693,-0.00002174,3.018325,0.250708,-1.59E-06,-9.15E-07,,88,Leo,1,56075,NN 3669,1.470957,,0,0,1.05,1.1,0,0,0,6000,,2.48,0.98,2.35,1.25,Lakes of liquid sulphur,I,
56828,,56997,101501,4496,Gl 434,61    UMa,Kumasi,11.684171,34.201633,9.6117,-13.95,-380.459991,-5.9,5.31,5.396,G8,0.723,-7.922294,0.656542,5.402774,-0.0000049,0.00000106,-0.00001805,3.058909,0.596931,-6.76E-08,-1.84E-06,,61,UMa,1,56828,,0.604784,,0,0,0.882,0.84,0,0,0,5320,,1.43,0.6,1.4,0.76,Liquid methane geysers,V-e,
57270,,57443,102365,4523,Gl 442A,,Alpha Tirna,11.775376,-40.500355,9.2208,-1531.689941,403.410004,15.3,4.89,5.066,G3,0.664,-6.99949,0.412234,-5.988563,-0.00001955,0.00006973,0.00000355,3.082786,-0.706865,-7.43E-06,1.96E-06,,0,Cen,1,57270,Gl 442,0.819596,,0,0,0.976667,0.976667,118771,0.018686,3854.166016,5745,,1.6,0.68,1.52,0.86,,,
57459,,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,-499.019989,-113.779999,-0.2,2.14,1.933,A3,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093857,0.25433,-2.42E-06,-5.52E-07,Bet,94,Leo,1,57459,,14.6825,,0,0,2.02,2.54,0,0,0,9175,,6.5,2.8,6.17,3.56,,,
57584,,57757,102870,4540,Gl 449,5Bet Vir,Lantana,11.844922,1.764718,10.929,740.960022,-271.179993,4.3,3.59,3.397,F8,0.518,-10.914853,0.443379,0.336562,-0.00000643,-0.00003903,-0.00001423,3.100993,0.0308,3.59E-06,-1.31E-06,Bet,5,Vir,1,57584,,3.812413,,0,0,1.11,1.18,0,0,0,6130,subgiant,3.35,1.43,3.18,1.82,All Mountains,IX-c,
